plot_number,plex_range,street_side,orientation_margin,array_key,style_vote,style_conf,th_position,layout,bua
324,323-330,right,0.9446,8,mysk,0.75,TH02,mysk-a,2111.45
325,323-330,right,0.9446,8,mysk,0.75,TH03,mysk-b,2094.98
326,323-330,right,0.9446,8,mysk,0.75,TH04,mysk-a,2094.76
327,323-330,right,0.9446,8,mysk,0.75,TH05,mysk-b,2094.76
328,323-330,right,0.9446,8,mysk,0.75,TH06,mysk-a,2094.65
329,323-330,right,0.9446,8,mysk,0.75,TH07,mysk-b,2111.45
330,323-330,right,0.9446,8,mysk,0.75,TH08,moon-b,2607.99
331,331-334,left,0.9887,4-1,moon,1.0,TH01,moon-a,2607.99
332,331-334,left,0.9887,4-1,moon,1.0,TH02,moon-a,2179.8
333,331-334,left,0.9887,4-1,moon,1.0,TH03,moon-b,2179.8
334,331-334,left,0.9887,4-1,moon,1.0,TH04,moon-b,2607.99
335,335-338,right,0.8823,4-2,mysk,1.0,TH04,mysk-b,2586.13
336,335-338,right,0.8823,4-2,mysk,1.0,TH03,mysk-b,2111.02
337,335-338,right,0.8823,4-2,mysk,1.0,TH02,mysk-a,2111.02
338,335-338,right,0.8823,4-2,mysk,1.0,TH01,mysk-a,2586.13
339,339-346,left,0.9388,8,mysk,0.6667,TH01,moon-a,2607.99
340,339-346,left,0.9388,8,mysk,0.6667,TH02,mysk-a,2111.45
341,339-346,left,0.9388,8,mysk,0.6667,TH03,mysk-b,2094.98
342,339-346,left,0.9388,8,mysk,0.6667,TH04,mysk-a,2094.76
343,339-346,left,0.9388,8,mysk,0.6667,TH05,mysk-b,2094.76
344,339-346,left,0.9388,8,mysk,0.6667,TH06,mysk-a,2094.65
345,339-346,left,0.9388,8,mysk,0.6667,TH07,mysk-b,2111.45
346,339-346,left,0.9388,8,mysk,0.6667,TH08,moon-b,2607.99
347,347-354,down,0.9573,8,mysk,0.75,TH08,moon-b,2607.99
348,347-354,down,0.9573,8,mysk,0.75,TH07,mysk-b,2111.45
349,347-354,down,0.9573,8,mysk,0.75,TH06,mysk-a,2094.65
350,347-354,down,0.9573,8,mysk,0.75,TH05,mysk-b,2094.76
351,347-354,down,0.9573,8,mysk,0.75,TH04,mysk-a,2094.76
352,347-354,down,0.9573,8,mysk,0.75,TH03,mysk-b,2094.98
353,347-354,down,0.9573,8,mysk,0.75,TH02,mysk-a,2111.45
354,347-354,down,0.9573,8,mysk,0.75,TH01,moon-a,2607.99
